date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:59	105205/105205	---MCZ	200	added ('OK')	image/png	etag:W/%2219af5-56968feafc280%22	https://www.diegocoronel.com/img/servicios/notebook.png	C:/My%20Web%20Sites/AS2/www.diegocoronel.com/img/servicios/notebook.png	(from http://diegocoronel.com/)
10:40:02	10505/10505	---MCZ	200	added ('OK')	image/jpeg	etag:W/%222909-56968fc105f80%22	https://www.diegocoronel.com/img/fondos/diegocoronel.jpg	C:/My%20Web%20Sites/AS2/www.diegocoronel.com/img/fondos/diegocoronel.jpg	(from http://diegocoronel.com/css/estilo.css)
10:40:04	287014/287014	---M--	200	added ('OK')	image/png	etag:%2246126-5696901aab300%22	http://diegocoronel.com/porfolio/img/8.png	C:/My%20Web%20Sites/AS2/diegocoronel.com/porfolio/img/8.png	(from http://diegocoronel.com/)
10:40:05	67546/67546	---M--	200	added ('OK')	application/javascript	etag:%22107da-56968f81208c0%22	http://diegocoronel.com/js/bootstrap-3.3.4.js	C:/My%20Web%20Sites/AS2/diegocoronel.com/js/bootstrap-3.3.4.js	(from http://diegocoronel.com/)
10:40:12	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/My%20Web%20Sites/AS2/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://diegocoronel.com/)
10:40:16	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-56968f797f6c0%22	http://diegocoronel.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/AS2/diegocoronel.com/fonts/glyphicons-halflings-regular.eot	(from http://diegocoronel.com/css/bootstrap-3.3.4.css)
10:40:20	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-56968f797f6c0%22	http://diegocoronel.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/AS2/diegocoronel.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://diegocoronel.com/css/bootstrap-3.3.4.css)
10:40:21	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-56968f7b67b40%22	http://diegocoronel.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/AS2/diegocoronel.com/fonts/glyphicons-halflings-regular.html	(from http://diegocoronel.com/css/bootstrap-3.3.4.css)
10:40:24	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-56968f7b67b40%22	http://diegocoronel.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/AS2/diegocoronel.com/fonts/glyphicons-halflings-regular.woff	(from http://diegocoronel.com/css/bootstrap-3.3.4.css)
10:40:27	145290/145290	---M--	200	added ('OK')	image/jpeg	etag:%222378a-56968f8c923c0%22	http://diegocoronel.com/css/img/contacto.jpg	C:/My%20Web%20Sites/AS2/diegocoronel.com/css/img/contacto.jpg	(from http://diegocoronel.com/css/estilo.css)
10:40:28	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-56968f7a73900%22	http://diegocoronel.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/AS2/diegocoronel.com/fonts/glyphicons-halflings-regular.svg	(from http://diegocoronel.com/css/bootstrap-3.3.4.css)
10:40:29	144876/144876	---MCZ	200	added ('OK')	image/jpeg	etag:W/%22235ec-56968fc5caac0%22	https://www.diegocoronel.com/img/fondos/fondo3.jpg	C:/My%20Web%20Sites/AS2/www.diegocoronel.com/img/fondos/fondo3.jpg	(from http://diegocoronel.com/css/estilo.css)
10:40:30	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%22b15c-56968f7b67b40%22	http://diegocoronel.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/AS2/diegocoronel.com/fonts/glyphicons-halflings-regular.ttf	(from http://diegocoronel.com/css/bootstrap-3.3.4.css)
10:40:40	436300/436300	---M--	200	added ('OK')	image/jpeg	etag:%226a84c-56968f8e7a840%22	http://diegocoronel.com/css/img/Services-bg.jpg	C:/My%20Web%20Sites/AS2/diegocoronel.com/css/img/Services-bg.jpg	(from http://diegocoronel.com/css/estilo.css)
